ship,tripnr,date,year,qtr,week,gear,ICES_AREA,meshsegment,effort,hpeffort
FD281,117,12-6-2009,2009,2,24,Boomkor12w,IVb,120-129 mm,4.5,9080
FD281,118,11-7-2009,2009,3,28,Boomkor12w,IVb,100-109 mm,4.8,9663
FD281,119,8-8-2009,2009,3,32,Boomkor12w,IVb,100-109 mm,4.8,9663
FD281,120,15-8-2009,2009,3,33,Boomkor12w,IVb,100-109 mm,3.6,7247
FD281,121,4-9-2009,2009,3,36,Boomkor12w,IVb,80-89 mm,3.8,7664
FD281,122,16-10-2009,2009,4,42,Boomkor12w,IVb,80-89 mm,4.3,8497
FD281,123,3-12-2009,2009,4,49,Boomkor12w,IVb,80-89 mm,6.3,12495
FD281,202,29-1-2010,2010,1,4,Boomkor12w,IVb,80-89 mm,4.4,8830
FD281,203,26-2-2010,2010,1,8,Boomkor12w,IVb,80-89 mm,4.4,8813
FD281,204,27-3-2010,2010,1,12,Boomkor12w,IVb,80-89 mm,4.7,9396
FD281,205,24-4-2010,2010,2,16,Boomkor12w,IVb,120-129 mm,4.9,9779
FD281,206,21-5-2010,2010,2,20,Boomkor12w,IVb,100-109 mm,4.7,9368
FD281,207,25-6-2010,2010,2,25,Boomkor12w,IVb,100-109 mm,4.6,9207
FD281,208,13-8-2010,2010,3,32,Boomkor12w,IVb,80-89 mm,4.9,9763
FD281,210,30-10-2010,2010,4,43,Boomkor12w,IVb,80-89 mm,4.7,9366
FD281,211,1-12-2010,2010,4,48,Boomkor12w,IVb,80-89 mm,9.2,18309
FD281,361,25-3-2011,2011,1,11,Boomkor12w,IVb,100-109 mm,4.3,8580
GO14,713,10-2-2012,2012,1,6,Boomkor12w,IVc,80-89 mm,4.2,8366
GO14,606,2-3-2012,2012,1,9,Boomkor12w,IVc,80-89 mm,4.1,8129
GO14,627,6-4-2012,2012,2,14,Boomkor12w,IVc,80-89 mm,4.2,8415
GO14,628,4-5-2012,2012,2,18,Boomkor12w,IVc,80-89 mm,4.2,8331
GO14,629,15-6-2012,2012,2,24,Boomkor12w,IVc,80-89 mm,4.1,8131
GO14,659,20-7-2012,2012,3,29,Boomkor12w,IVc,80-89 mm,4.2,8479
GO14,660,10-8-2012,2012,3,32,Boomkor12w,IVc,80-89 mm,4.2,8317
GO14,661,7-9-2012,2012,3,36,Boomkor12w,IVc,80-89 mm,4.1,8121
GO14,714,5-10-2012,2012,4,40,Boomkor12w,IVc,80-89 mm,4.1,8150
GO14,715,2-11-2012,2012,4,44,Boomkor12w,IVc,80-89 mm,4,7993
GO14,716,30-11-2012,2012,4,48,Boomkor12w,IVc,80-89 mm,4.2,8325
GO28,213,19-3-2010,2010,1,11,Boomkor12w,IVc,80-89 mm,4.1,12051
GO28,214,14-5-2010,2010,2,19,Boomkor12w,IVc,80-89 mm,4.1,12051
GO28,215,16-7-2010,2010,3,28,Boomkor12w,IVc,80-89 mm,3.9,11559
GO28,216,24-9-2010,2010,3,38,Boomkor12w,IVc,80-89 mm,4,11805
GO28,217,22-10-2010,2010,4,42,Boomkor12w,IVc,80-89 mm,4.2,12420
GO28,218,18-11-2010,2010,4,46,Boomkor12w,IVc,80-89 mm,3.7,10944
GO28,219,10-12-2010,2010,4,49,Boomkor12w,IVc,80-89 mm,4,11805
GO28,367,18-2-2011,2011,1,7,Boomkor12w,IVc,80-89 mm,4,11805
GO28,447,12-5-2011,2011,2,19,Boomkor12w,IVc,80-89 mm,3.8,11313
GO28,368,14-7-2011,2011,3,28,Boomkor12w,IVc,80-89 mm,3.5,10329
GO28,369,9-9-2011,2011,3,36,Boomkor12w,IVc,80-89 mm,3.9,11559
GO28,357.2,16-9-2011,2011,3,37,Boomkor12w,IVc,80-89 mm,4,11805
GO28,428,21-10-2011,2011,4,42,Boomkor12w,IVc,80-89 mm,4.2,12297
GO28,429,18-11-2011,2011,4,46,Boomkor12w,IVc,80-89 mm,4,11928
GO29,220,14-5-2010,2010,2,19,Boomkor04w,IVc,80-89 mm,1.5,438
GO29,448,6-5-2011,2011,2,18,Boomkor04w,IVc,80-89 mm,0.3,88
GO29,448,5-5-2011,2011,2,18,Boomkor04w,IVc,80-89 mm,0.4,125
GO29,448,4-5-2011,2011,2,18,Boomkor04w,IVc,80-89 mm,0.4,125
GO31,607,2-3-2012,2012,1,9,Boomkor12w,IVc,80-89 mm,4,8021
GO31,688,23-3-2012,2012,1,12,Boomkor12w,IVc,80-89 mm,4.1,8139
GO31,630,20-4-2012,2012,2,16,Boomkor12w,IVc,80-89 mm,4.2,8333
GO31,631,11-5-2012,2012,2,19,Boomkor12w,IVc,80-89 mm,4,8091
GO31,689,19-7-2012,2012,3,29,Boomkor12w,IVc,80-89 mm,4,7986
GO31,662,30-8-2012,2012,3,35,Boomkor12w,IVc,80-89 mm,4,8043
GO31,717,4-10-2012,2012,3,40,Boomkor12w,IVc,80-89 mm,4,8041
GO4,124,2-4-2009,2009,1,14,Boomkor12w,IVc,80-89 mm,3.1,6235
GO4,125,15-5-2009,2009,2,20,Boomkor12w,IVc,80-89 mm,5,10059
GO4,126,29-5-2009,2009,2,22,Boomkor12w,IVc,80-89 mm,4.1,8147
GO4,127,6-8-2009,2009,3,32,Boomkor12w,IVc,80-89 mm,3,6068
GO4,128,28-8-2009,2009,3,35,Boomkor12w,IVc,80-89 mm,4.1,8147
GO4,129,25-9-2009,2009,3,39,Boomkor12w,IVc,80-89 mm,4,7980
GO4,130,23-10-2009,2009,4,43,Boomkor12w,IVc,80-89 mm,4,7897
GO4,131,20-11-2009,2009,4,47,Boomkor12w,IVc,80-89 mm,4.1,8147
GO4,132,11-12-2009,2009,4,50,Boomkor12w,IVc,80-89 mm,3.9,7814
GO4,221,28-1-2010,2010,1,4,Boomkor12w,IVc,80-89 mm,3.1,6085
GO4,222,26-2-2010,2010,1,8,Boomkor12w,IVc,80-89 mm,4.1,8080
GO4,223,26-3-2010,2010,1,12,Boomkor12w,IVc,80-89 mm,4,8064
GO4,226,3-9-2010,2010,3,35,Boomkor12w,IVc,80-89 mm,3.6,7149
GO4,227,15-10-2010,2010,4,41,Boomkor12w,IVc,80-89 mm,3.9,7814
GO4,228,11-11-2010,2010,4,45,Boomkor12w,IVc,80-89 mm,3.5,7.00E+03
GO4,229,16-12-2010,2010,4,50,Boomkor12w,IVc,80-89 mm,3.1,6235
GO4,362,11-2-2011,2011,1,6,Boomkor12w,IVc,80-89 mm,3.9,7798
GO4,363,4-3-2011,2011,1,9,Boomkor12w,IVc,80-89 mm,4,8064
GO4,364,25-3-2011,2011,1,12,Boomkor12w,IVc,80-89 mm,4.1,8113
GO4,444,22-4-2011,2011,2,16,Boomkor12w,IVc,80-89 mm,4,7980
GO4,445,20-5-2011,2011,2,20,Boomkor12w,IVc,80-89 mm,4.1,8080
GO4,446,17-6-2011,2011,2,24,Boomkor12w,IVc,80-89 mm,3.3,6501
GO4,365,9-9-2011,2011,3,36,Boomkor12w,IVc,80-89 mm,4,7997
GO4,358.2,30-9-2011,2011,3,39,Boomkor12w,IVc,80-89 mm,4,7914
GO4,427,21-10-2011,2011,4,42,Boomkor12w,IVc,80-89 mm,4,7980
GO48,230,5-2-2010,2010,1,5,Boomkor12w,IVc,80-89 mm,4.2,8313
GO48,231,5-3-2010,2010,1,9,Boomkor12w,IVc,80-89 mm,4.2,8313
GO48,232,9-4-2010,2010,2,14,Boomkor12w,IVc,80-89 mm,3.6,7232
GO48,233,7-5-2010,2010,2,18,Boomkor12w,IVc,80-89 mm,4.2,8296
GO48,234,17-6-2010,2010,2,24,Boomkor12w,IVc,80-89 mm,3.2,6401
GO48,235,13-8-2010,2010,3,32,Boomkor12w,IVc,80-89 mm,4.2,8396
GO48,236,10-9-2010,2010,3,36,Boomkor12w,IVc,80-89 mm,4.2,8396
GO48,237,8-10-2010,2010,4,40,Boomkor12w,IVc,80-89 mm,4.2,8368
GO48,238,5-11-2010,2010,4,44,Boomkor12w,IVc,80-89 mm,4.3,8479
GO48,371,11-2-2011,2011,1,6,Boomkor12w,IVc,80-89 mm,4.1,8230
GO48,372,11-3-2011,2011,1,10,Boomkor12w,IVc,80-89 mm,4.1,8230
GO48,449,8-4-2011,2011,2,14,Boomkor12w,IVc,80-89 mm,4.1,8230
GO48,450,13-5-2011,2011,2,19,Boomkor12w,IVc,80-89 mm,4.2,8313
GO48,451,17-6-2011,2011,2,24,Boomkor12w,IVc,80-89 mm,4.3,8562
GO48,373,8-7-2011,2011,3,27,Boomkor12w,IVc,80-89 mm,4.1,8230
GO48,374,8-8-2011,2011,3,32,Boomkor12w,IVc,80-89 mm,1,1995
GO48,374,12-8-2011,2011,3,32,Boomkor12w,IVc,80-89 mm,2.7,5403
GO48,375,9-9-2011,2011,3,36,Boomkor12w,IVc,80-89 mm,4.3,8479
GO48,430,7-10-2011,2011,4,40,Boomkor12w,IVc,80-89 mm,4.3,8479
GO48,431,4-11-2011,2011,4,44,Boomkor12w,IVc,80-89 mm,4.2,8313
GO48,432,2-12-2011,2011,4,48,Boomkor12w,IVc,80-89 mm,4.2,8396
GO48,608,23-3-2012,2012,1,12,Boomkor12w,IVc,80-89 mm,4.1,8207
GO48,632,19-4-2012,2012,2,16,Boomkor12w,IVc,80-89 mm,4,7955
GO48,633,4-5-2012,2012,2,18,Boomkor12w,IVc,80-89 mm,4.1,8198
GO48,634,14-6-2012,2012,2,24,Boomkor12w,IVc,80-89 mm,4,7990
GO48,718,6-7-2012,2012,3,27,Boomkor12w,IVc,80-89 mm,4.1,8181
GO48,663,10-8-2012,2012,3,32,Boomkor12w,IVc,80-89 mm,4.2,8356
GO48,664,6-9-2012,2012,3,36,Boomkor12w,IVc,80-89 mm,3.5,6918
GO48,719,5-10-2012,2012,4,40,Boomkor12w,IVc,80-89 mm,4.1,8080
GO48,720,2-11-2012,2012,4,44,Boomkor12w,IVc,80-89 mm,4.1,8085
GO48,712.2,30-11-2012,2012,4,48,Boomkor12w,IVc,80-89 mm,4.1,8112
GO58,239,23-4-2010,2010,2,16,Boomkor04w,IVc,80-89 mm,4.3,1277
GO58,240,6-5-2010,2010,2,18,Boomkor04w,IVc,80-89 mm,2.3,689
GO58,241,13-5-2010,2010,2,19,Boomkor04w,IVc,80-89 mm,3.5,1039
GO58,242,1-7-2010,2010,2,26,Twinrig,IVb,80-89 mm,5.5,1663
GO58,376,31-3-2011,2011,1,13,Boomkor04w,IVc,80-89 mm,4,1190
GO58,452,29-4-2011,2011,2,17,Boomkor04w,IVc,80-89 mm,4.3,1290
GO58,453,17-6-2011,2011,2,24,Twinrig,IVb,80-89 mm,6.5,1941
GO58,377,19-8-2011,2011,3,33,Twinrig,IVb,80-89 mm,4.2,1255
GO58,378,5-9-2011,2011,3,35,Twinrig,IVb,80-89 mm,4.9,1478
GO58,433,29-9-2011,2011,3,39,Twinrig,IVb,80-89 mm,6.1,1841
GO58,609,26-3-2012,2012,1,13,Boomkor04w,IVb,80-89 mm,6.6,1976
GO58,609,30-3-2012,2012,1,13,Boomkor04w,IVb,80-89 mm,3.5,1056
GO58,635,2-4-2012,2012,2,14,Boomkor04w,IVb,80-89 mm,0.6,187
GO58,635,5-4-2012,2012,2,14,Boomkor04w,IVc,80-89 mm,2.1,632
GO58,754,23-4-2012,2012,2,17,Boomkor04w,IVb,80-89 mm,4.1,1227
GO58,636,16-6-2012,2012,2,24,Twinrig,IVb,80-89 mm,5.2,1569
GO58,722,6-7-2012,2012,2,27,Twinrig,IVb,80-89 mm,6.3,1883
GO58,665,10-8-2012,2012,3,32,Twinrig,IVb,80-89 mm,3.7,1103
GO58,666,6-9-2012,2012,3,36,Twinrig,IVb,80-89 mm,3.3,1001
GY127,133,27-6-2009,2009,2,26,Twinrig,IVb,120-129 mm,4.7,9520
GY127,134,7-8-2009,2009,3,32,Twinrig,IVb,120-129 mm,3.9,7990
HD22,244,19-2-2010,2010,1,7,Boomkor12w,IVb,80-89 mm,6.7,13411
HD22,245,12-3-2010,2010,1,10,Boomkor12w,IVc,80-89 mm,6.7,13311
HD22,246,16-4-2010,2010,2,15,Boomkor12w,IVc,80-89 mm,4.3,8680
HD22,247,14-5-2010,2010,2,19,Boomkor12w,IVc,80-89 mm,4.3,8497
HD22,248,6-8-2010,2010,3,31,Boomkor12w,IVc,80-89 mm,4.3,8580
HD22,249,22-10-2010,2010,4,42,Boomkor12w,IVb,80-89 mm,6.6,13245
HD22,249,22-10-2010,2010,4,42,Boomkor12w,IVc,80-89 mm,6.6,13245
HD22,383,11-3-2011,2011,1,10,Boomkor12w,IVb,80-89 mm,6.6,13228
HD22,454,15-4-2011,2011,2,15,Boomkor12w,IVc,80-89 mm,6.6,13178
HD22,455,13-5-2011,2011,2,19,Boomkor12w,IVc,80-89 mm,4.3,8663
HD22,456,10-6-2011,2011,2,23,Boomkor12w,IVc,80-89 mm,4.4,8747
HD22,384,14-7-2011,2011,3,28,Boomkor12w,IVc,80-89 mm,3.9,7830
HD22,385,15-9-2011,2011,3,37,Boomkor12w,IVb,80-89 mm,6.5,12995
HD22,385,15-9-2011,2011,3,37,Boomkor12w,IVc,80-89 mm,6.5,12995
HD22,434,14-10-2011,2011,4,41,Boomkor12w,IVb,80-89 mm,4.4,8830
HD22,434,14-10-2011,2011,4,41,Boomkor12w,IVc,80-89 mm,4.4,8830
HD22,435,8-12-2011,2011,4,49,Boomkor12w,IVc,80-89 mm,6,12054
HD22,703.2,3-2-2012,2012,1,5,Boomkor12w,IVc,80-89 mm,6.7,13425
HD22,610,16-3-2012,2012,1,11,Boomkor12w,IVb,80-89 mm,6.5,13071
HD22,637,13-4-2012,2012,2,15,Boomkor12w,IVb,80-89 mm,6.6,13126
HD22,638,12-5-2012,2012,2,19,Boomkor12w,IVc,80-89 mm,5.3,10552
HD22,640,8-6-2012,2012,2,23,Boomkor12w,IVc,80-89 mm,4.2,8392
HD22,668,20-7-2012,2012,3,29,Boomkor12w,IVb,80-89 mm,6.7,13324
HD22,668,20-7-2012,2012,3,29,Boomkor12w,IVc,80-89 mm,6.7,13324
HD22,669,10-8-2012,2012,3,32,Boomkor12w,IVb,80-89 mm,4.5,8913
HD22,670,14-9-2012,2012,3,37,Boomkor12w,IVb,80-89 mm,6.6,13099
HD22,723,11-10-2012,2012,4,41,Boomkor12w,IVb,80-89 mm,5.8,11561
HD22,724,9-11-2012,2012,4,45,Boomkor12w,IVb,80-89 mm,6.2,12472
HD3,135,16-4-2009,2009,2,16,Boomkor04w,IVc,80-89 mm,6.8,2054
HD3,136,4-6-2009,2009,2,23,Boomkor04w,IVb,80-89 mm,6.8,2041
HD3,136,4-6-2009,2009,2,23,Boomkor04w,IVc,80-89 mm,6.8,2041
HD3,250,16-4-2010,2010,2,15,Boomkor04w,IVc,80-89 mm,4.4,1330
HD36,137,28-4-2009,2009,2,18,Twinrig,IVb,100-109 mm,7.9,2379
HD36,138,15-5-2009,2009,2,20,Boomkor04w,IVb,80-89 mm,6.7,2016
HD36,138,15-5-2009,2009,2,20,Boomkor04w,IVc,80-89 mm,6.7,2016
HD36,139,12-6-2009,2009,2,24,Boomkor04w,IVb,80-89 mm,6.7,2004
HD36,139,12-6-2009,2009,2,24,Boomkor04w,IVc,80-89 mm,6.7,2004
HD36,140,9-7-2009,2009,3,28,Twinrig,IVb,90-99 mm,5.8,1753
HD36,141,26-8-2009,2009,3,35,Twinrig,IVb,80-89 mm,6.6,1979
HD36,142,2-10-2009,2009,3,40,Twinrig,IVb,100-109 mm,6.2,1866
HD36,143,9-12-2009,2009,4,50,Twinrig,IVb,90-99 mm,6.5,1954
HD36,253,27-1-2010,2010,1,4,Boomkor04w,IVb,80-89 mm,3,889
HD36,254,24-2-2010,2010,1,8,Boomkor04w,IVb,80-89 mm,9.1,2723
HD36,255,19-3-2010,2010,1,11,Twinrig,IVb,100-109 mm,3.8,1127
HD36,256,14-4-2010,2010,2,15,Twinrig,IVb,100-109 mm,8.3,2480
HD36,257,14-5-2010,2010,2,19,Boomkor04w,IVc,80-89 mm,4.3,1305
HD36,258,16-6-2010,2010,2,24,Twinrig,IVb,100-109 mm,9.9,2983
HD36,259,12-7-2010,2010,3,28,Twinrig,IVb,90-99 mm,7.3,2189
HD36,260,9-8-2010,2010,3,32,Twinrig,IVb,80-89 mm,7.4,2212
HD36,261,14-9-2010,2010,3,37,Twinrig,IVb,80-89 mm,5.9,1771
HD36,262,19-10-2010,2010,4,42,Twinrig,IVb,80-89 mm,5.7,1708
HD36,263,9-12-2010,2010,4,49,Twinrig,IVb,80-89 mm,3.7,1117
HD36,387,16-2-2011,2011,1,6,Boomkor04w,IVb,80-89 mm,8.2,2465
HD36,387,16-2-2011,2011,1,6,Boomkor04w,IVc,80-89 mm,8.2,2465
HD36,388,21-3-2011,2011,1,11,Twinrig,IVb,100-109 mm,9.5,2868
HD36,457,18-4-2011,2011,2,15,Twinrig,IVb,100-109 mm,9.6,2875
HD36,386,13-5-2011,2011,2,19,Twinrig,IVb,100-109 mm,9.7,2915
HD36,436,8-6-2011,2011,2,23,Twinrig,IVb,100-109 mm,9.7,2918
HD36,389,14-7-2011,2011,3,28,Twinrig,IVb,80-89 mm,4,1210
HD36,390,19-8-2011,2011,3,32,Twinrig,IVb,80-89 mm,7.7,2304
HD36,391,22-9-2011,2011,3,38,Twinrig,IVb,80-89 mm,7.3,2204
HD36,437,18-10-2011,2011,4,41,Twinrig,IVb,80-89 mm,6,1803
HD36,611,10-2-2012,2012,1,6,Boomkor04w,IVb,100-109 mm,4.3,1280
HD36,612,13-3-2012,2012,1,11,Boomkor04w,IVb,100-109 mm,4.7,1403
HD36,641,11-4-2012,2012,2,15,Twinrig,IVb,100-109 mm,9.9,2981
HD36,643,10-5-2012,2012,2,19,Twinrig,IVb,100-109 mm,10.2,3056
HD36,644,6-6-2012,2012,2,23,Twinrig,IVb,80-89 mm,8.2,2450
HD36,671,12-7-2012,2012,3,28,Twinrig,IVb,80-89 mm,6.8,2029
HD36,704.2,8-8-2012,2012,3,32,Twinrig,IVb,80-89 mm,7.8,2349
HD36,725,21-9-2012,2012,3,38,Twinrig,IVb,80-89 mm,7.2,2175
IJM31,144,21-4-2009,2009,2,17,Twinrig,IVc,120-129 mm,2,614
IJM31,145,1-6-2009,2009,2,23,Twinrig,IVc,80-89 mm,0.8,238
OD50,265,10-2-2010,2010,1,6,Boomkor04w,IVc,80-89 mm,2.6,781
OD50,266,5-3-2010,2010,1,9,Boomkor04w,IVc,80-89 mm,3.8,1142
OD50,267,8-4-2010,2010,2,14,Boomkor04w,IVc,80-89 mm,2.6,774
OD50,268,30-4-2010,2010,2,17,Boomkor04w,IVc,80-89 mm,4.1,1230
OD50,269,18-6-2010,2010,2,24,Boomkor04w,IVc,80-89 mm,4.2,1265
OD50,270,30-7-2010,2010,3,30,Boomkor04w,IVc,80-89 mm,1.6,493
OD50,270,28-7-2010,2010,3,30,Boomkor04w,IVc,80-89 mm,2.5,739
OD50,271,8-10-2010,2010,4,40,Boomkor04w,IVc,80-89 mm,4.3,1277
OD50,272,1-12-2010,2010,4,48,Boomkor04w,IVc,80-89 mm,1.8,551
OD50,396,11-2-2011,2011,1,6,Boomkor04w,IVc,80-89 mm,3.2,957
OD50,461,15-4-2011,2011,2,15,Boomkor04w,IVc,80-89 mm,4.3,1302
OD50,462,13-5-2011,2011,2,19,Boomkor04w,IVc,80-89 mm,4.2,1260
OD50,463,17-6-2011,2011,2,24,Boomkor04w,IVc,80-89 mm,3.3,1002
OD50,397,23-9-2011,2011,3,38,Boomkor04w,IVc,80-89 mm,2.1,626
OD50,397,21-9-2011,2011,3,38,Boomkor04w,IVc,80-89 mm,2.2,651
OD50,473,4-11-2011,2011,4,44,Boomkor04w,IVc,80-89 mm,4.2,1272
OD50,474,25-11-2011,2011,4,47,Boomkor04w,IVc,80-89 mm,4,1212
OD50,614,10-2-2012,2012,1,6,Boomkor04w,IVc,80-89 mm,4.2,1265
OD50,615,2-3-2012,2012,1,9,Boomkor04w,IVc,80-89 mm,4.2,1252
OD50,646,6-4-2012,2012,2,14,Boomkor04w,IVc,80-89 mm,4,1215
OD50,726,22-6-2012,2012,2,25,Boomkor04w,IVc,80-89 mm,2,601
OD50,726,20-6-2012,2012,2,25,Boomkor04w,IVc,80-89 mm,2.2,664
OD50,673,5-9-2012,2012,3,36,Boomkor04w,IVc,80-89 mm,2.2,664
OD50,673,7-9-2012,2012,3,36,Boomkor04w,IVc,80-89 mm,2,589
OD50,709.2,24-9-2012,2012,3,39,Boomkor04w,IVc,80-89 mm,0.7,213
OD50,709.2,28-9-2012,2012,3,39,Boomkor04w,IVc,80-89 mm,1.9,564
OD6,273,5-2-2010,2010,1,5,Boomkor12w,IVc,80-89 mm,4.1,7428
OD6,274,3-3-2010,2010,1,9,Boomkor12w,IVc,80-89 mm,2.9,5192
OD6,275,22-4-2010,2010,2,16,Twinrig,IVb,100-109 mm,3.8,6812
OD6,276,7-5-2010,2010,2,18,Twinrig,IVb,100-109 mm,4.1,7353
OD6,277,18-6-2010,2010,2,24,Twinrig,IVb,100-109 mm,4,7203
OD6,278,24-9-2010,2010,3,38,Twinrig,IVb,100-109 mm,4,7263
OD6,279,5-11-2010,2010,4,44,Boomkor12w,IVc,80-89 mm,4.2,7503
OD6,280,3-12-2010,2010,4,48,Boomkor12w,IVc,80-89 mm,4.3,7728
OD6,392,11-2-2011,2011,1,6,Boomkor12w,IVc,80-89 mm,4.1,7422
OD6,458,8-4-2011,2011,2,14,Twinrig,IVb,80-89 mm,4.2,7481
OD6,439,6-5-2011,2011,2,18,Twinrig,IVb,100-109 mm,4.2,7611
OD6,460,17-6-2011,2011,2,24,Twinrig,IVb,100-109 mm,4.2,7493
OD6,393,8-7-2011,2011,3,27,Twinrig,IVb,100-109 mm,3.7,6648
OD6,394,19-8-2011,2011,3,33,Twinrig,IVb,100-109 mm,4.2,7537
OD6,395,23-9-2011,2011,3,38,Twinrig,IVb,100-109 mm,4.2,7499
OD6,440,13-10-2011,2011,4,41,Twinrig,IVb,100-109 mm,2.4,4247
OD6,470,4-11-2011,2011,4,44,Boomkor12w,IVc,80-89 mm,4.2,7631
OD6,471,18-11-2011,2011,4,46,Boomkor12w,IVc,80-89 mm,4.2,7612
OD6,360.2,25-11-2011,2011,4,47,Boomkor12w,IVc,80-89 mm,4.2,7541
OD6,616,10-2-2012,2012,1,6,Twinrig,IVc,80-89 mm,4.1,7442
OD6,617,2-3-2012,2012,1,9,Twinrig,IVc,80-89 mm,4.3,7688
OD6,647,21-4-2012,2012,2,16,Twinrig,IVb,100-109 mm,4,7282
OD6,648,11-5-2012,2012,2,19,Twinrig,IVb,100-109 mm,4.2,7541
OD6,649,15-6-2012,2012,2,24,Twinrig,IVb,100-109 mm,4.6,8332
OD6,728,6-7-2012,2012,3,27,Twinrig,IVb,100-109 mm,4.1,7363
OD6,674,9-8-2012,2012,3,32,Twinrig,IVb,100-109 mm,3.9,6947
OD6,675,7-9-2012,2012,3,36,Twinrig,IVb,100-109 mm,4.2,7559
OD6,729,2-11-2012,2012,4,44,Boomkor12w,IVc,80-89 mm,4,7249
