ship,tripnr,date,year,qtr,week,gear,ICES_AREA,meshsegment,effort,hpeffort
PD63,281,23-4-2010,2010,2,16,Boomkor12w,IVb,100-109 mm,4,8109
PD63,282,21-5-2010,2010,2,20,Boomkor12w,IVb,100-109 mm,4.2,8602
PD63,283,25-6-2010,2010,2,25,Boomkor12w,IVb,100-109 mm,4,8245
PD63,284,2-9-2010,2010,3,35,Boomkor12w,IVb,80-89 mm,3.6,7259
PD657,285,26-3-2010,2010,1,12,Boomkor12w,IVb,100-109 mm,4.1,8186
PD657,286,22-4-2010,2010,2,16,Boomkor12w,IVb,100-109 mm,3.9,7841
PD657,287,21-5-2010,2010,2,20,Boomkor12w,IVa,100-109 mm,4.2,8408
PD657,287,21-5-2010,2010,2,20,Boomkor12w,IVb,100-109 mm,4.2,8408
PD657,289,23-7-2010,2010,3,29,Boomkor12w,IVb,100-109 mm,4,8074
TH10,618,23-3-2012,2012,1,12,Boomkor04w,IVc,80-89 mm,1.3,401
TH10,618,21-3-2012,2012,1,12,Boomkor04w,IVc,80-89 mm,2.8,827
TH10,650,8-5-2012,2012,2,19,Boomkor04w,IVc,80-89 mm,1.3,401
TH10,650,10-5-2012,2012,2,19,Boomkor04w,IVc,80-89 mm,1.4,421
TH10,650,11-5-2012,2012,2,19,Boomkor04w,IVc,80-89 mm,0.9,272
TH10,651,7-6-2012,2012,2,23,Boomkor04w,IVc,80-89 mm,3.3,1001
TH10,651,8-6-2012,2012,2,23,Boomkor04w,IVc,80-89 mm,0.9,267
TH10,676,1-8-2012,2012,3,31,Boomkor04w,IVc,80-89 mm,2.3,681
TH10,676,2-8-2012,2012,3,31,Boomkor04w,IVc,80-89 mm,1.5,443
TH10,730,10-10-2012,2012,4,41,Boomkor04w,IVc,80-89 mm,2.9,863
TH10,730,12-10-2012,2012,4,41,Boomkor04w,IVc,80-89 mm,1.4,412
TH7,291,9-7-2010,2010,3,27,Twinrig,IVb,100-109 mm,4.1,1237
TH7,292,6-9-2010,2010,3,36,Twinrig,IVb,100-109 mm,5.9,1778
TH7,652,11-5-2012,2012,2,19,Boomkor04w,IVc,80-89 mm,1,301
TH7,652,10-5-2012,2012,2,19,Boomkor04w,IVc,80-89 mm,3.2,952
TH7,677,20-7-2012,2012,3,29,Boomkor04w,IVc,80-89 mm,1,301
TH7,677,19-7-2012,2012,3,29,Boomkor04w,IVc,80-89 mm,3.3,1002
TH7,731,11-10-2012,2012,4,41,Boomkor04w,IVc,80-89 mm,3.3,999
TH7,731,12-10-2012,2012,4,41,Boomkor04w,IVc,80-89 mm,0.9,283
TX19,146,3-4-2009,2009,1,14,Boomkor12w,IVb,80-89 mm,4.4,8752
TX19,146,3-4-2009,2009,1,14,Boomkor12w,IVc,80-89 mm,4.4,8752
TX19,147,15-5-2009,2009,2,20,Boomkor12w,IVb,80-89 mm,4.5,8919
TX19,147,15-5-2009,2009,2,20,Boomkor12w,IVc,80-89 mm,4.5,8919
TX19,148,29-5-2009,2009,2,22,Boomkor12w,IVb,80-89 mm,4.2,8419
TX19,148,29-5-2009,2009,2,22,Boomkor12w,IVc,80-89 mm,4.2,8419
TX19,149,3-7-2009,2009,2,27,Boomkor12w,IVc,80-89 mm,4.2,8336
TX19,150,31-7-2009,2009,3,31,Boomkor12w,IVc,80-89 mm,4.4,8752
TX19,151,28-8-2009,2009,3,35,Boomkor12w,IVc,80-89 mm,4.2,8419
TX19,152,25-9-2009,2009,3,39,Boomkor12w,IVb,80-89 mm,4.2,8419
TX19,153,4-12-2009,2009,4,49,Boomkor12w,IVb,80-89 mm,4.3,8669
TX19,153,4-12-2009,2009,4,49,Boomkor12w,IVc,80-89 mm,4.3,8669
TX19,154,23-12-2009,2009,4,52,Boomkor12w,IVb,80-89 mm,8.8,17505
TX19,154,23-12-2009,2009,4,52,Boomkor12w,IVc,80-89 mm,8.8,17505
TX19,293,4-2-2010,2010,1,5,Boomkor12w,IVb,80-89 mm,3.2,6418
TX19,294,19-3-2010,2010,1,11,Boomkor12w,IVb,80-89 mm,4.2,8419
TX19,295,14-5-2010,2010,2,19,Boomkor12w,IVc,80-89 mm,4.2,8336
TX19,296,10-9-2010,2010,3,36,Boomkor12w,IVb,80-89 mm,4.3,8669
TX19,399,25-3-2011,2011,1,12,Boomkor12w,IVb,80-89 mm,4.3,8586
TX29,155,3-4-2009,2009,1,14,Boomkor12w,IVb,80-89 mm,3.9,8838
TX29,156,29-5-2009,2009,2,22,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,157,3-7-2009,2009,2,27,Boomkor12w,IVc,80-89 mm,3.8,8743
TX29,158,31-7-2009,2009,3,31,Boomkor12w,IVb,80-89 mm,3.9,8838
TX29,158,31-7-2009,2009,3,31,Boomkor12w,IVc,80-89 mm,3.9,8838
TX29,159,28-8-2009,2009,3,35,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,160,25-9-2009,2009,3,39,Boomkor12w,IVb,80-89 mm,3.9,8933
TX29,160,25-9-2009,2009,3,39,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,161,23-10-2009,2009,4,43,Boomkor12w,IVc,80-89 mm,4,9028
TX29,162,20-11-2009,2009,4,47,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,163,11-12-2009,2009,4,50,Boomkor12w,IVb,80-89 mm,3.9,8933
TX29,163,11-12-2009,2009,4,50,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,297,5-2-2010,2010,1,5,Boomkor12w,IVb,80-89 mm,3.9,8857
TX29,298,19-3-2010,2010,1,11,Boomkor12w,IVc,80-89 mm,4.1,9408
TX29,299,14-5-2010,2010,2,19,Boomkor12w,IVc,80-89 mm,4,9009
TX29,300,16-7-2010,2010,3,28,Boomkor12w,IVb,80-89 mm,3.9,8838
TX29,300,16-7-2010,2010,3,28,Boomkor12w,IVc,80-89 mm,3.9,8838
TX29,301,10-9-2010,2010,3,36,Boomkor12w,IVb,80-89 mm,3.9,8933
TX29,301,10-9-2010,2010,3,36,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,304,13-10-2010,2010,4,41,Boomkor12w,IVb,80-89 mm,8.1,18360
TX29,304,13-10-2010,2010,4,41,Boomkor12w,IVc,80-89 mm,8.1,18360
TX29,302,26-11-2010,2010,4,47,Boomkor12w,IVb,80-89 mm,4,9009
TX29,302,26-11-2010,2010,4,47,Boomkor12w,IVc,80-89 mm,4,9009
TX29,303,10-12-2010,2010,4,49,Boomkor12w,IVc,80-89 mm,4,9028
TX29,400,17-2-2011,2011,1,7,Boomkor12w,IVc,80-89 mm,3.4,7678
TX29,401,18-3-2011,2011,1,11,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,464,22-4-2011,2011,2,16,Boomkor12w,IVc,80-89 mm,1.6,3706
TX29,464,20-4-2011,2011,2,16,Boomkor12w,IVc,100-109 mm,2.4,5417
TX29,402,8-7-2011,2011,3,27,Boomkor12w,IVb,80-89 mm,3.9,8933
TX29,402,8-7-2011,2011,3,27,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,403,9-9-2011,2011,3,36,Boomkor12w,IVc,80-89 mm,3.9,8933
TX29,475,30-9-2011,2011,3,39,Boomkor12w,IVb,80-89 mm,3.8,8743
TX29,476,21-10-2011,2011,4,42,Boomkor12w,IVb,80-89 mm,3.9,8838
TX29,476,21-10-2011,2011,4,42,Boomkor12w,IVc,80-89 mm,3.9,8838
TX29,477,18-11-2011,2011,4,46,Boomkor12w,IVb,80-89 mm,3.9,8838
TX29,477,18-11-2011,2011,4,46,Boomkor12w,IVc,80-89 mm,3.9,8838
TX29,478,8-12-2011,2011,4,49,Boomkor12w,IVb,80-89 mm,3,6805
TX29,619,10-2-2012,2012,1,6,Boomkor12w,IVb,80-89 mm,4.2,9537
TX29,619,10-2-2012,2012,1,6,Boomkor12w,IVc,80-89 mm,4.2,9537
TX29,705.2,16-3-2012,2012,1,11,Boomkor12w,IVb,80-89 mm,3.9,8899
TX29,705.2,16-3-2012,2012,1,11,Boomkor12w,IVc,80-89 mm,3.9,8899
TX29,653,20-4-2012,2012,2,16,Boomkor12w,IVc,80-89 mm,3.9,8847
TX29,654,8-6-2012,2012,2,23,Boomkor12w,IVc,80-89 mm,3.9,8910
TX29,678,13-7-2012,2012,3,28,Boomkor12w,IVc,80-89 mm,3.9,8811
TX29,679,7-9-2012,2012,3,36,Boomkor12w,IVb,80-89 mm,3.9,8823
TX29,732,28-9-2012,2012,3,39,Boomkor12w,IVb,80-89 mm,3.9,8890
TX29,733,19-10-2012,2012,4,42,Boomkor12w,IVc,80-89 mm,3.9,8902
TX29,734,16-11-2012,2012,4,46,Boomkor12w,IVb,80-89 mm,3.9,8895
TX29,734,16-11-2012,2012,4,46,Boomkor12w,IVc,80-89 mm,3.9,8895
UK153,764,7-7-2012,2012,3,27,Zegen,IVb,100-109 mm,5.8,5514
UK158,735,16-3-2012,2012,1,11,Twinrig,IVb,80-89 mm,4.8,1440
UK158,655,20-4-2012,2012,2,16,Twinrig,IVb,80-89 mm,4.5,1353
UK158,656,25-5-2012,2012,2,21,Twinrig,IVb,80-89 mm,3.8,1140
UK158,736,22-6-2012,2012,2,25,Twinrig,IVb,80-89 mm,4.4,1315
UK158,680,20-7-2012,2012,3,29,Twinrig,IVb,80-89 mm,4.7,1415
UK158,681,31-8-2012,2012,3,35,Twinrig,IVb,80-89 mm,4.1,1230
UK158,737,23-11-2012,2012,4,47,Twinrig,IVb,80-89 mm,4.1,1235
UK24,491,22-7-2011,2011,3,29,Zegen,IVb,110-119 mm,4.4,4028
UK24,404,25-8-2011,2011,3,34,Zegen,IVb,120-129 mm,3.5,3261
UK24,479,21-9-2011,2011,3,38,Zegen,IVb,120-129 mm,1.6,1496
UK24,479,22-9-2011,2011,3,38,Zegen,IVb,120-129 mm,1.6,1496
UK24,480,6-10-2011,2011,4,40,Zegen,IVb,110-119 mm,3,2724
UK24,738,25-5-2012,2012,2,21,Zegen,IVb,100-109 mm,3.9,3606
UK24,739,20-6-2012,2012,2,25,Zegen,IVb,110-119 mm,2.6,2402
UK24,739,20-6-2012,2012,2,25,Zegen,IVb,120-129 mm,2.6,2402
UK24,739,22-6-2012,2012,2,25,Zegen,IVb,120-129 mm,1.6,1487
UK24,682,19-7-2012,2012,3,29,Zegen,IVb,110-119 mm,3.5,3220
UK24,682,21-7-2012,2012,3,29,Zegen,IVb,110-119 mm,2,1834
UK24,683,30-8-2012,2012,3,35,Zegen,IVb,120-129 mm,3.4,3121
UK24,740,20-9-2012,2012,3,38,Zegen,IVb,120-129 mm,3.2,2980
UK24,741,25-10-2012,2012,4,43,Zegen,IVb,110-119 mm,3.5,3206
UK24,742,23-11-2012,2012,4,47,Zegen,IVb,110-119 mm,4.8,4376
UK284,164,24-4-2009,2009,2,17,Boomkor12w,IVb,80-89 mm,4.2,8419
UK284,165,15-5-2009,2009,2,20,Boomkor12w,IVb,80-89 mm,4.2,8336
UK284,166,12-6-2009,2009,2,24,Boomkor12w,IVb,80-89 mm,3.9,7836
UK284,167,11-7-2009,2009,3,28,Boomkor12w,IVb,80-89 mm,5,10003
UK284,168,14-8-2009,2009,3,33,Boomkor12w,IVb,80-89 mm,4.5,9086
UK284,169,11-9-2009,2009,3,37,Boomkor12w,IVb,80-89 mm,4.3,8502
UK284,170,3-10-2009,2009,3,40,Boomkor12w,IVb,80-89 mm,4.7,9419
UK284,171,4-12-2009,2009,4,49,Boomkor12w,IVb,80-89 mm,4.1,8252
UK284,172,18-12-2009,2009,4,51,Boomkor12w,IVb,80-89 mm,4,7919
UK284,305,29-1-2010,2010,1,4,Boomkor12w,IVb,80-89 mm,4.1,8169
UK284,306,26-2-2010,2010,1,8,Boomkor12w,IVb,80-89 mm,4.2,8336
UK284,307,16-4-2010,2010,2,15,Boomkor12w,IVb,80-89 mm,4.2,8336
UK284,308,11-6-2010,2010,2,23,Boomkor12w,IVb,80-89 mm,4.7,9403
UK284,309,6-8-2010,2010,3,31,Boomkor12w,IVb,80-89 mm,4.6,9236
UK284,311,29-10-2010,2010,4,43,Boomkor12w,IVb,100-109 mm,3.9,7836
UK284,312,26-11-2010,2010,4,47,Boomkor12w,IVb,80-89 mm,4.2,8419
UK284,313,17-12-2010,2010,4,50,Boomkor12w,IVb,80-89 mm,4.1,8252
UK284,485,25-11-2011,2011,4,47,Boomkor12w,IVb,80-89 mm,4.6,9103
UK284,620,17-2-2012,2012,1,7,Boomkor12w,IVb,80-89 mm,4.4,8836
UK284,621,16-3-2012,2012,1,11,Boomkor12w,IVb,80-89 mm,4.7,9336
UK284,743,21-4-2012,2012,2,16,Boomkor12w,IVb,100-109 mm,5.7,11337
UK284,744,25-5-2012,2012,2,21,Boomkor12w,IVb,100-109 mm,4.3,8602
UK284,745,22-6-2012,2012,2,25,Boomkor12w,IVb,100-109 mm,3.8,7669
UK284,684,10-8-2012,2012,3,32,Boomkor12w,IVb,100-109 mm,4.1,8152
UK284,746,26-10-2012,2012,4,43,Boomkor12w,IVb,80-89 mm,4.2,8483
UK284,747,23-11-2012,2012,4,47,Boomkor12w,IVb,80-89 mm,4.6,9266
UK33,748,23-3-2012,2012,1,12,Boomkor12w,IVb,80-89 mm,4.6,10869
UK33,696,20-4-2012,2012,2,16,Boomkor12w,IVb,100-109 mm,3.8,9093
UK33,657,26-5-2012,2012,2,21,Boomkor12w,IVb,100-109 mm,4.9,11580
UK33,697,22-6-2012,2012,2,25,Boomkor12w,IVb,100-109 mm,4.1,9737
UK33,749,26-10-2012,2012,4,43,Boomkor12w,IVb,80-89 mm,4,9617
UK33,710.2,23-11-2012,2012,4,47,Boomkor12w,IVb,80-89 mm,4.4,10436
UK33,710.2,23-11-2012,2012,4,47,Boomkor12w,IVc,80-89 mm,4.4,10436
UK45,173,23-4-2009,2009,2,17,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,174,14-5-2009,2009,2,20,Boomkor12w,IVb,80-89 mm,3.8,10999
UK45,175,11-6-2009,2009,2,24,Boomkor12w,IVb,80-89 mm,3.8,10999
UK45,176,9-7-2009,2009,3,28,Boomkor12w,IVb,80-89 mm,3.8,10999
UK45,177,6-8-2009,2009,3,32,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,178,3-9-2009,2009,3,36,Boomkor12w,IVb,80-89 mm,3.4,9790
UK45,179,1-10-2009,2009,3,40,Boomkor12w,IVb,80-89 mm,3.8,10999
UK45,180,29-10-2009,2009,4,44,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,181,27-11-2009,2009,4,48,Boomkor12w,IVb,80-89 mm,3.5,10153
UK45,314,28-1-2010,2010,1,4,Boomkor12w,IVb,80-89 mm,3.1,8944
UK45,315,25-2-2010,2010,1,8,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,316,15-4-2010,2010,2,15,Boomkor12w,IVb,80-89 mm,3.8,10999
UK45,317,3-6-2010,2010,2,22,Boomkor12w,IVb,80-89 mm,3.8,10999
UK45,318,5-8-2010,2010,3,31,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,319,23-9-2010,2010,3,38,Boomkor12w,IVb,80-89 mm,3.7,10637
UK45,320,28-10-2010,2010,4,43,Boomkor12w,IVb,100-109 mm,3.9,11241
UK45,321,25-11-2010,2010,4,47,Boomkor12w,IVb,80-89 mm,3.7,10782
UK45,322,16-12-2010,2010,4,50,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,405,17-2-2011,2011,1,7,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,406,17-3-2011,2011,1,11,Boomkor12w,IVb,80-89 mm,3.8,10878
UK45,481,14-4-2011,2011,2,15,Boomkor12w,IVc,80-89 mm,3.8,10878
UK45,482,23-6-2011,2011,2,25,Boomkor12w,IVb,80-89 mm,3.8,10902
UK45,483,4-8-2011,2011,3,31,Boomkor12w,IVb,100-109 mm,3.8,10975
UK45,492,22-9-2011,2011,3,38,Boomkor12w,IVb,100-109 mm,3.8,11120
UK45,492,22-9-2011,2011,3,38,Boomkor12w,IVb,80-89 mm,3.8,11120
UK45,359.2,27-10-2011,2011,4,43,Boomkor12w,IVb,100-109 mm,3.9,11241
UK45,359.2,27-10-2011,2011,4,43,Boomkor12w,IVb,80-89 mm,3.9,11241
UK45,500,24-11-2011,2011,4,47,Boomkor12w,IVb,80-89 mm,3.8,10902
UK45,501,13-12-2011,2011,4,50,Boomkor12w,IVb,80-89 mm,1.8,5294
UK45,501,16-12-2011,2011,4,50,Boomkor12w,IVb,80-89 mm,2,5802
UK45,622,16-2-2012,2012,1,7,Boomkor12w,IVb,80-89 mm,3.8,10999
UK45,750,19-4-2012,2012,2,16,Boomkor12w,IVb,100-109 mm,3.8,11023
UK45,751,21-6-2012,2012,2,25,Boomkor12w,IVb,100-109 mm,3.8,11077
UK45,752,2-8-2012,2012,3,31,Boomkor12w,IVb,100-109 mm,3.3,9657
UK45,752,2-8-2012,2012,3,31,Boomkor12w,IVb,80-89 mm,3.3,9657
UK45,753,20-9-2012,2012,3,38,Boomkor12w,IVb,80-89 mm,3.9,11268
UK45,755,25-10-2012,2012,4,43,Boomkor12w,IVb,100-109 mm,3.9,11186
UK45,755,25-10-2012,2012,4,43,Boomkor12w,IVb,80-89 mm,3.9,11186
WR108,330,19-2-2010,2010,1,7,Twinrig,IVb,80-89 mm,4.3,1282
WR108,331,19-3-2010,2010,1,11,Twinrig,IVb,80-89 mm,4.2,1251
WR108,332,21-5-2010,2010,2,20,Twinrig,IVb,80-89 mm,4.2,1247
WR108,333,15-10-2010,2010,4,41,Twinrig,IVb,80-89 mm,4.2,1260
WR108,334,16-12-2010,2010,4,50,Twinrig,IVb,80-89 mm,3.8,1130
WR108,424,12-2-2011,2011,1,6,Twinrig,IVb,80-89 mm,4,1190
WR108,425,17-3-2011,2011,1,11,Twinrig,IVb,80-89 mm,5.7,1701
WR108,488,22-4-2011,2011,2,16,Twinrig,IVb,80-89 mm,4.3,1301
WR108,442,1-7-2011,2011,2,26,Twinrig,IVb,80-89 mm,4.3,1285
WR108,426,30-9-2011,2011,3,39,Twinrig,IVb,80-89 mm,4.4,1307
WR108,493,17-10-2011,2011,4,41,Twinrig,IVb,80-89 mm,5.3,1590
WR108,502,23-12-2011,2011,4,51,Twinrig,IVb,80-89 mm,4.4,1315
WR108,624,15-3-2012,2012,1,11,Twinrig,IVb,80-89 mm,7.1,2129
WR108,759,29-6-2012,2012,2,26,Twinrig,IVb,80-89 mm,3.9,1181
WR108,760,12-10-2012,2012,4,41,Twinrig,IVb,80-89 mm,4.4,1326
WR19,186,3-4-2009,2009,1,14,Twinrig,IVb,80-89 mm,4.3,2122
WR19,187,29-5-2009,2009,2,22,Twinrig,IVb,80-89 mm,4.2,2040
WR19,188,24-7-2009,2009,3,30,Twinrig,IVb,80-89 mm,3.8,1877
WR19,189,17-9-2009,2009,3,38,Twinrig,IVb,80-89 mm,3.8,1877
WR19,190,13-11-2009,2009,4,46,Twinrig,IVb,80-89 mm,4.7,2285
WR19,191,11-12-2009,2009,4,50,Twinrig,IVb,80-89 mm,4.3,2122
WR19,335,19-2-2010,2010,1,7,Twinrig,IVb,80-89 mm,4.3,2122
WR19,336,19-3-2010,2010,1,11,Twinrig,IVb,80-89 mm,4,1958
WR19,337,21-5-2010,2010,2,20,Twinrig,IVb,80-89 mm,4.2,2040
WR19,338,2-7-2010,2010,2,26,Twinrig,IVb,80-89 mm,4.2,2060
WR19,339,14-10-2010,2010,4,41,Twinrig,IVb,80-89 mm,3.4,1673
WR19,340,9-12-2010,2010,4,49,Twinrig,IVb,80-89 mm,6.5,3203
WR19,418,19-2-2011,2011,1,7,Twinrig,IVb,80-89 mm,5.1,2509
WR19,419,18-3-2011,2011,1,11,Twinrig,IVb,80-89 mm,5.3,2570
WR19,468,22-4-2011,2011,2,16,Twinrig,IVb,80-89 mm,5.3,2570
WR19,420,1-7-2011,2011,2,26,Twinrig,IVb,80-89 mm,4,1979
WR19,421,30-9-2011,2011,3,39,Twinrig,IVb,80-89 mm,4.3,2081
WR19,494,17-10-2011,2011,4,41,Twinrig,IVb,80-89 mm,5.3,2611
WR19,503,23-12-2011,2011,4,51,Twinrig,IVb,80-89 mm,2.7,1302
WR19,626,23-3-2012,2012,1,12,Twinrig,IVb,80-89 mm,3.4,1652
WR19,700,10-5-2012,2012,2,19,Twinrig,IVb,80-89 mm,4.1,2030
WR19,707.2,15-6-2012,2012,2,24,Twinrig,IVb,80-89 mm,4.3,2119
WR19,761,12-10-2012,2012,4,41,Twinrig,IVb,80-89 mm,4.4,2134
WR23,341,21-5-2010,2010,2,20,Twinrig,IVb,80-89 mm,4.2,1249
WR23,342,2-7-2010,2010,2,26,Twinrig,IVb,80-89 mm,4.2,1272
WR23,343,2-11-2010,2010,4,44,Twinrig,IVb,80-89 mm,3.2,963
WR23,344,9-12-2010,2010,4,49,Twinrig,IVb,80-89 mm,6.3,1886
WR23,422,23-3-2011,2011,1,12,Twinrig,IVb,80-89 mm,6.6,1969
WR23,469,27-4-2011,2011,2,16,Twinrig,IVb,80-89 mm,9.1,2750
WR23,495,17-10-2011,2011,4,41,Twinrig,IVb,80-89 mm,5.4,1610
WR23,701,21-3-2012,2012,1,12,Twinrig,IVb,80-89 mm,9.3,2805
WR23,702,26-4-2012,2012,2,17,Twinrig,IVb,80-89 mm,3.5,1056
WR23,762,29-6-2012,2012,2,26,Twinrig,IVb,80-89 mm,3.7,1127
WR23,706.2,27-7-2012,2012,3,30,Twinrig,IVb,80-89 mm,4.1,1240
WR244,345,19-2-2010,2010,1,7,Boomkor04w,IVc,80-89 mm,4.3,1300
WR244,346,18-3-2010,2010,1,11,Boomkor04w,IVb,80-89 mm,3.5,1039
WR244,347,19-5-2010,2010,2,20,Boomkor04w,IVc,80-89 mm,2.5,751
WR244,348,30-6-2010,2010,2,26,Boomkor04w,IVc,80-89 mm,2.4,726
WR244,348,2-7-2010,2010,2,26,Boomkor04w,IVc,80-89 mm,1.7,501
WR244,349,29-10-2010,2010,4,43,Boomkor04w,IVc,80-89 mm,1.4,426
WR244,443,20-4-2011,2011,2,16,Boomkor04w,IVc,80-89 mm,4.4,1315
WR244,443,22-4-2011,2011,2,16,Boomkor04w,IVc,80-89 mm,1.5,451
WR244,496,14-10-2011,2011,4,41,Boomkor04w,IVc,80-89 mm,2.5,736
WR244,499,17-11-2011,2011,4,46,Boomkor04w,IVc,80-89 mm,3,889
WR244,499,18-11-2011,2011,4,46,Boomkor04w,IVc,80-89 mm,1,288
WR244,686,6-7-2012,2012,3,27,Boomkor04w,IVc,80-89 mm,0.9,276
WR244,686,5-7-2012,2012,3,27,Boomkor04w,IVc,80-89 mm,0.6,188
WR244,686,4-7-2012,2012,3,27,Boomkor04w,IVc,80-89 mm,2.3,676
WR244,687,14-9-2012,2012,3,37,Boomkor04w,IVc,80-89 mm,1.6,476
WR244,687,12-9-2012,2012,3,37,Boomkor04w,IVc,80-89 mm,2.4,714
WR244,763,10-10-2012,2012,4,41,Boomkor04w,IVc,80-89 mm,1.6,488
WR244,763,12-10-2012,2012,4,41,Boomkor04w,IVc,80-89 mm,1.8,551
